nprocs,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,dynamic,480,360,16,6,4,8,16,0,master,0,0.0948209,2.18766,0,2.40714
8,dynamic,480,360,16,6,4,8,16,1,worker,1.29696,1.02785,0.0770958,747,2.40297
8,dynamic,480,360,16,6,4,8,16,2,worker,1.49787,0.812496,0.0913459,835,2.40287
8,dynamic,480,360,16,6,4,8,16,3,worker,1.24475,0.984552,0.171858,795,2.40257
8,dynamic,480,360,16,6,4,8,16,4,worker,1.48083,0.884512,0.0366393,799,2.40346
8,dynamic,480,360,16,6,4,8,16,5,worker,1.38396,0.926958,0.090933,814,2.40295
8,dynamic,480,360,16,6,4,8,16,6,worker,1.44558,0.942249,0.0173216,739,2.40629
8,dynamic,480,360,16,6,4,8,16,7,worker,1.4123,0.975219,0.0116158,791,2.40235
8,dynamic,480,360,16,6,4,8,16,0,master,0,0.00408324,1.04122,0,1.09592
8,dynamic,480,360,16,6,4,8,16,1,worker,0.927273,0.156667,0.00718856,877,1.09219
8,dynamic,480,360,16,6,4,8,16,2,worker,0.964838,0.117145,0.00844384,862,1.09149
8,dynamic,480,360,16,6,4,8,16,3,worker,0.931345,0.143062,0.0157383,739,1.0913
8,dynamic,480,360,16,6,4,8,16,4,worker,0.947307,0.125004,0.0196175,772,1.09297
8,dynamic,480,360,16,6,4,8,16,5,worker,0.930573,0.131707,0.028569,753,1.09172
8,dynamic,480,360,16,6,4,8,16,6,worker,0.950867,0.130927,0.0083908,729,1.09113
8,dynamic,480,360,16,6,4,8,16,7,worker,0.964787,0.116644,0.00831161,788,1.09075
8,dynamic,480,360,16,6,4,8,16,0,master,0,0.00315658,0.904617,0,0.953356
8,dynamic,480,360,16,6,4,8,16,1,worker,0.875524,0.0684556,0.00467274,788,0.94959
8,dynamic,480,360,16,6,4,8,16,2,worker,0.875591,0.0639727,0.00923733,744,0.949837
8,dynamic,480,360,16,6,4,8,16,3,worker,0.874556,0.0615445,0.0116108,815,0.949755
8,dynamic,480,360,16,6,4,8,16,4,worker,0.86793,0.0720654,0.00725096,752,0.948209
8,dynamic,480,360,16,6,4,8,16,5,worker,0.868942,0.0674335,0.0124828,806,0.949753
8,dynamic,480,360,16,6,4,8,16,6,worker,0.874463,0.0496986,0.0241696,798,0.949404
8,dynamic,480,360,16,6,4,8,16,7,worker,0.870296,0.0699833,0.00775234,817,0.949211
8,dynamic,480,360,16,6,4,8,32,0,master,0,0.00118837,0.851839,0,0.899779
8,dynamic,480,360,16,6,4,8,32,1,worker,0.846112,0.04699,0.0017332,222,0.895714
8,dynamic,480,360,16,6,4,8,32,2,worker,0.848988,0.0381237,0.00749246,210,0.895491
8,dynamic,480,360,16,6,4,8,32,3,worker,0.842994,0.0435488,0.00721438,203,0.894597
8,dynamic,480,360,16,6,4,8,32,4,worker,0.847412,0.043772,0.00326071,208,0.89531
8,dynamic,480,360,16,6,4,8,32,5,worker,0.835659,0.0362908,0.0219462,189,0.895087
8,dynamic,480,360,16,6,4,8,32,6,worker,0.84417,0.0452508,0.00462063,197,0.894968
8,dynamic,480,360,16,6,4,8,32,7,worker,0.848013,0.0456956,0.00489095,211,0.899416
8,dynamic,480,360,16,6,4,8,32,0,master,0,0.0012986,0.843777,0,0.900275
8,dynamic,480,360,16,6,4,8,32,1,worker,0.8467,0.0316389,0.0156312,197,0.895037
8,dynamic,480,360,16,6,4,8,32,2,worker,0.844127,0.0211694,0.0289628,217,0.895113
8,dynamic,480,360,16,6,4,8,32,3,worker,0.844998,0.0432952,0.00459825,204,0.893915
8,dynamic,480,360,16,6,4,8,32,4,worker,0.846589,0.0389001,0.00816679,217,0.894534
8,dynamic,480,360,16,6,4,8,32,5,worker,0.842616,0.0413771,0.00957013,215,0.894538
8,dynamic,480,360,16,6,4,8,32,6,worker,0.842914,0.0218298,0.0297732,197,0.895371
8,dynamic,480,360,16,6,4,8,32,7,worker,0.848353,0.0334399,0.0127891,193,0.895454
8,dynamic,480,360,16,6,4,8,32,0,master,0,0.0019441,0.872202,0,0.906361
8,dynamic,480,360,16,6,4,8,32,1,worker,0.858418,0.0356968,0.00418738,209,0.899228
8,dynamic,480,360,16,6,4,8,32,2,worker,0.861867,0.0353452,0.001821,222,0.899931
8,dynamic,480,360,16,6,4,8,32,3,worker,0.853216,0.0413227,0.00772066,194,0.90311
8,dynamic,480,360,16,6,4,8,32,4,worker,0.854502,0.0371933,0.00784517,194,0.900359
8,dynamic,480,360,16,6,4,8,32,5,worker,0.852404,0.0424946,0.00341725,221,0.899261
8,dynamic,480,360,16,6,4,8,32,6,worker,0.857253,0.0402451,0.00125925,214,0.899608
8,dynamic,480,360,16,6,4,8,32,7,worker,0.8598,0.0253316,0.0103965,186,0.896572
8,dynamic,480,360,16,6,4,8,64,0,master,0,0.0332557,0.876018,0,0.945658
8,dynamic,480,360,16,6,4,8,64,1,worker,0.907851,0.0270468,0.00898321,59,0.944786
8,dynamic,480,360,16,6,4,8,64,2,worker,0.898385,0.0313306,0.00450313,59,0.935114
8,dynamic,480,360,16,6,4,8,64,3,worker,0.923121,0.0120083,0.00131925,59,0.937454
8,dynamic,480,360,16,6,4,8,64,4,worker,0.897559,0.0320112,0.0108856,49,0.941412
8,dynamic,480,360,16,6,4,8,64,5,worker,0.891549,0.0243848,0.0249471,52,0.941933
8,dynamic,480,360,16,6,4,8,64,6,worker,0.896382,0.0384714,0.00139133,55,0.938006
8,dynamic,480,360,16,6,4,8,64,7,worker,0.904848,0.0278095,0.001592,51,0.937418
8,dynamic,480,360,16,6,4,8,64,0,master,0,0.00606049,0.855852,0,0.894715
8,dynamic,480,360,16,6,4,8,64,1,worker,0.855554,0.0163386,0.0101001,53,0.882981
8,dynamic,480,360,16,6,4,8,64,2,worker,0.864185,0.0184222,0.00154717,58,0.885115
8,dynamic,480,360,16,6,4,8,64,3,worker,0.863162,0.006848,0.00365079,55,0.87477
8,dynamic,480,360,16,6,4,8,64,4,worker,0.875341,0.00508537,0.00404462,50,0.885475
8,dynamic,480,360,16,6,4,8,64,5,worker,0.873061,0.0122385,0.00813225,54,0.894223
8,dynamic,480,360,16,6,4,8,64,6,worker,0.874127,0.00975175,0.000950835,57,0.885812
8,dynamic,480,360,16,6,4,8,64,7,worker,0.867509,0.00551968,0.00439933,57,0.878514
8,dynamic,480,360,16,6,4,8,64,0,master,0,1.33915,1.00491,0,2.38473
8,dynamic,480,360,16,6,4,8,64,1,worker,1.23036,1.13137,0.0169023,47,2.37951
8,dynamic,480,360,16,6,4,8,64,2,worker,1.24828,0.994524,0.134181,53,2.37781
8,dynamic,480,360,16,6,4,8,64,3,worker,1.28729,1.0446,0.0274165,53,2.38434
8,dynamic,480,360,16,6,4,8,64,4,worker,1.28093,1.08673,0.00519004,64,2.37963
8,dynamic,480,360,16,6,4,8,64,5,worker,1.22603,1.13862,0.00657875,56,2.37226
