nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.00233924,2.78741,0,2.90496
8,1,dynamic,480,360,16,8,4,6,32,1,worker,2.30663,0.589703,0.00475425,167,2.90194
8,1,dynamic,480,360,16,8,4,6,32,2,worker,2.46086,0.396354,0.00525012,143,2.86331
8,1,dynamic,480,360,16,8,4,6,32,3,worker,2.44701,0.429901,0.0191488,150,2.89684
8,1,dynamic,480,360,16,8,4,6,32,4,worker,2.48962,0.399348,0.00598033,154,2.89576
8,1,dynamic,480,360,16,8,4,6,32,5,worker,2.42007,0.441987,0.034455,139,2.89726
8,1,dynamic,480,360,16,8,4,6,32,6,worker,2.31951,0.438692,0.0909349,149,2.84989
8,1,dynamic,480,360,16,8,4,6,32,7,worker,2.43442,0.455634,0.00250267,178,2.89621
8,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.00165469,1.71175,0,1.74553
8,1,dynamic,480,360,16,8,4,6,32,1,worker,1.6438,0.0881576,0.00453941,168,1.73745
8,1,dynamic,480,360,16,8,4,6,32,2,worker,1.6781,0.0587091,0.00189691,168,1.73946
8,1,dynamic,480,360,16,8,4,6,32,3,worker,1.6975,0.0212883,0.0121225,133,1.73813
8,1,dynamic,480,360,16,8,4,6,32,4,worker,1.68843,0.0414422,0.00119196,145,1.73183
8,1,dynamic,480,360,16,8,4,6,32,5,worker,1.68525,0.0423845,0.00448687,154,1.7328
8,1,dynamic,480,360,16,8,4,6,32,6,worker,1.68319,0.0316368,0.0163994,151,1.73249
8,1,dynamic,480,360,16,8,4,6,32,7,worker,1.6741,0.0621415,0.000983415,161,1.73797
4,2,dynamic,480,360,16,8,4,6,32,0,master,0,0.000679516,1.71836,0,1.74316
4,2,dynamic,480,360,16,8,4,6,32,1,worker,1.71859,0.00642954,0.0124264,362,1.7396
4,2,dynamic,480,360,16,8,4,6,32,2,worker,1.71845,0.00778824,0.0108566,349,1.73927
4,2,dynamic,480,360,16,8,4,6,32,3,worker,1.71991,0.0157654,0.00452595,369,1.74279
4,2,dynamic,480,360,16,8,4,6,32,0,master,0,0.00059596,1.75646,0,1.78092
4,2,dynamic,480,360,16,8,4,6,32,1,worker,1.75726,0.0100625,0.00762601,356,1.77699
4,2,dynamic,480,360,16,8,4,6,32,2,worker,1.75559,0.0114544,0.00787766,358,1.77676
4,2,dynamic,480,360,16,8,4,6,32,3,worker,1.75676,0.007054,0.014614,366,1.78057
2,4,dynamic,480,360,16,8,4,6,32,0,master,0,0.00182293,3.18154,0,3.21459
2,4,dynamic,480,360,16,8,4,6,32,1,worker,3.16013,0.0131388,0.0339337,1080,3.21429
2,4,dynamic,480,360,16,8,4,6,32,0,master,0,0.00086765,2.40122,0,2.42454
2,4,dynamic,480,360,16,8,4,6,32,1,worker,2.39326,0.00277422,0.0228293,1080,2.42403
2,7,dynamic,480,360,16,8,4,6,32,0,master,0,0.000626929,1.81596,0,1.8388
2,7,dynamic,480,360,16,8,4,6,32,1,worker,1.80854,0.00234691,0.0224121,1080,1.83849
2,7,dynamic,480,360,16,8,4,6,32,0,master,0,0.0013777,1.76959,0,1.79365
2,7,dynamic,480,360,16,8,4,6,32,1,worker,1.76212,0.00235482,0.0236848,1080,1.79332
