nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
40,1,dynamic,1280,720,48,5,12,96,32,0,master,0,3.84029,5664.4,0,5673.85
40,1,dynamic,1280,720,48,5,12,96,32,1,worker,5655.52,0.328938,1.04527,3815,5656.96
40,1,dynamic,1280,720,48,5,12,96,32,2,worker,5654.87,0.218395,1.02797,3686,5656.17
40,1,dynamic,1280,720,48,5,12,96,32,3,worker,5654.86,0.221706,1.04667,4006,5656.19
40,1,dynamic,1280,720,48,5,12,96,32,4,worker,5654.74,0.415504,1.06246,4049,5656.28
40,1,dynamic,1280,720,48,5,12,96,32,5,worker,5654.69,0.322844,1.02721,3658,5656.11
40,1,dynamic,1280,720,48,5,12,96,32,6,worker,5654.8,0.293231,1.0317,3703,5656.18
40,1,dynamic,1280,720,48,5,12,96,32,7,worker,5656.23,0.276688,1.077,3644,5657.65
40,1,dynamic,1280,720,48,5,12,96,32,8,worker,5654.65,0.255748,1.03602,3711,5656
40,1,dynamic,1280,720,48,5,12,96,32,9,worker,5654.71,0.2616,1.0389,3612,5656.07
40,1,dynamic,1280,720,48,5,12,96,32,10,worker,5654.72,0.314014,1.04277,3713,5656.15
40,1,dynamic,1280,720,48,5,12,96,32,11,worker,5655.63,0.235289,1.1889,3677,5657.12
40,1,dynamic,1280,720,48,5,12,96,32,12,worker,5654.62,0.350114,1.0521,3688,5656.09
40,1,dynamic,1280,720,48,5,12,96,32,13,worker,5654.57,0.395276,0.976929,3838,5656
40,1,dynamic,1280,720,48,5,12,96,32,14,worker,5654.51,0.367685,1.03302,3613,5655.97
40,1,dynamic,1280,720,48,5,12,96,32,15,worker,5655.7,0.225425,1.02155,3829,5657.01
40,1,dynamic,1280,720,48,5,12,96,32,16,worker,5554,0.503051,101.599,1780,5656.14
40,1,dynamic,1280,720,48,5,12,96,32,17,worker,5554.14,0.533998,105.531,1862,5660.24
40,1,dynamic,1280,720,48,5,12,96,32,18,worker,5554.59,0.476028,101.133,1685,5656.23
40,1,dynamic,1280,720,48,5,12,96,32,19,worker,5552.66,0.475425,103.386,1668,5656.56
40,1,dynamic,1280,720,48,5,12,96,32,20,worker,5558.32,0.458815,97.2412,1631,5656.05
40,1,dynamic,1280,720,48,5,12,96,32,21,worker,5564.68,0.490177,91.3463,1697,5656.56
40,1,dynamic,1280,720,48,5,12,96,32,22,worker,5568.51,0.48281,91.9996,1716,5661.03
40,1,dynamic,1280,720,48,5,12,96,32,23,worker,5552.35,0.504823,105.174,1785,5658.07
40,1,dynamic,1280,720,48,5,12,96,32,24,worker,5608.44,0.460942,55.5976,1184,5664.53
40,1,dynamic,1280,720,48,5,12,96,32,25,worker,5616.58,0.503532,55.873,1188,5672.99
40,1,dynamic,1280,720,48,5,12,96,32,26,worker,5592.19,0.507314,65.3033,1270,5658.04
40,1,dynamic,1280,720,48,5,12,96,32,27,worker,5596.39,0.512249,63.1393,1265,5660.08
40,1,dynamic,1280,720,48,5,12,96,32,28,worker,5603.92,0.448275,56.602,1111,5661
40,1,dynamic,1280,720,48,5,12,96,32,29,worker,5606.09,0.50388,60.2012,1261,5666.83
40,1,dynamic,1280,720,48,5,12,96,32,30,worker,5589.59,0.512802,66.0251,1302,5656.16
40,1,dynamic,1280,720,48,5,12,96,32,31,worker,5593.59,0.496916,62.0715,1289,5656.19
40,1,dynamic,1280,720,48,5,12,96,32,32,worker,5601.92,0.417477,58.342,1084,5660.71
40,1,dynamic,1280,720,48,5,12,96,32,33,worker,5596.42,0.389846,58.9604,1019,5655.8
40,1,dynamic,1280,720,48,5,12,96,32,34,worker,5604.79,0.433479,51.2507,1071,5656.51
40,1,dynamic,1280,720,48,5,12,96,32,35,worker,5603.99,0.401468,54.8913,1039,5659.31
40,1,dynamic,1280,720,48,5,12,96,32,36,worker,5608.86,0.418669,52.2219,1055,5661.53
40,1,dynamic,1280,720,48,5,12,96,32,37,worker,5602.74,0.378542,53.1508,1015,5656.31
40,1,dynamic,1280,720,48,5,12,96,32,38,worker,5599.5,0.406361,56.6664,1058,5656.61
40,1,dynamic,1280,720,48,5,12,96,32,39,worker,5611.3,0.399074,53.4548,1043,5665.19
