nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,1,dynamic,480,360,16,8,4,6,64,0,master,0,0.126668,2.46622,0,2.64926
8,1,dynamic,480,360,16,8,4,6,64,1,worker,2.54026,0.0928057,0.00796905,37,2.64199
8,1,dynamic,480,360,16,8,4,6,64,2,worker,2.6138,0.0182648,0.00133917,38,2.6343
8,1,dynamic,480,360,16,8,4,6,64,3,worker,2.46023,0.170656,0.0114933,40,2.64342
8,1,dynamic,480,360,16,8,4,6,64,4,worker,2.55281,0.0781377,0.00358671,34,2.63539
8,1,dynamic,480,360,16,8,4,6,64,5,worker,2.52961,0.0869924,0.0293106,49,2.64699
8,1,dynamic,480,360,16,8,4,6,64,6,worker,2.55116,0.0838385,0.00154562,45,2.63758
8,1,dynamic,480,360,16,8,4,6,64,7,worker,2.60713,0.0194062,0.0231539,45,2.6506
8,1,dynamic,480,360,16,8,4,6,64,0,master,0,0.0458409,1.56404,0,1.66491
8,1,dynamic,480,360,16,8,4,6,64,1,worker,1.60768,0.0396126,0.00621991,44,1.65427
8,1,dynamic,480,360,16,8,4,6,64,2,worker,1.62666,0.024596,0.00170087,46,1.65368
8,1,dynamic,480,360,16,8,4,6,64,3,worker,1.62895,0.00709841,0.0148961,40,1.65157
8,1,dynamic,480,360,16,8,4,6,64,4,worker,1.57791,0.0579214,0.00896204,38,1.64563
8,1,dynamic,480,360,16,8,4,6,64,5,worker,1.60737,0.0215885,0.0158751,27,1.64538
8,1,dynamic,480,360,16,8,4,6,64,6,worker,1.61279,0.0454381,0.00528259,46,1.66443
8,1,dynamic,480,360,16,8,4,6,64,7,worker,1.61268,0.0376067,0.00400688,47,1.65527
8,1,static,480,360,16,8,4,6,64,0,master,0,0.037856,1.90124,0,1.97473
8,1,static,480,360,16,8,4,6,64,1,worker,1.94288,0.0232619,0.00693166,42,1.97375
8,1,static,480,360,16,8,4,6,64,2,worker,1.86752,0.0178686,0.00771071,41,1.89384
8,1,static,480,360,16,8,4,6,64,3,worker,1.68292,0.0177597,0.00397513,41,1.70546
8,1,static,480,360,16,8,4,6,64,4,worker,1.52827,0.024059,0.000908085,41,1.5546
8,1,static,480,360,16,8,4,6,64,5,worker,1.41422,0.0156481,0.00414725,41,1.43487
8,1,static,480,360,16,8,4,6,64,6,worker,1.44082,0.0175961,0.00242321,41,1.46157
8,1,static,480,360,16,8,4,6,64,7,worker,1.62123,0.0267276,0.0116266,41,1.66035
8,1,static,480,360,16,8,4,6,64,0,master,0,0.0226215,2.30933,0,2.37276
8,1,static,480,360,16,8,4,6,64,1,worker,2.31508,0.0150707,0.00379662,42,2.33484
8,1,static,480,360,16,8,4,6,64,2,worker,2.32266,0.0203108,0.0261105,41,2.37002
8,1,static,480,360,16,8,4,6,64,3,worker,1.93439,0.0187158,0.0015387,41,1.95541
8,1,static,480,360,16,8,4,6,64,4,worker,1.71283,0.038687,0.0314984,41,1.78438
8,1,static,480,360,16,8,4,6,64,5,worker,1.68356,0.0214924,0.00134813,41,1.71192
8,1,static,480,360,16,8,4,6,64,6,worker,1.55113,0.0150881,0.00339262,41,1.57035
8,1,static,480,360,16,8,4,6,64,7,worker,1.94801,0.00755108,0.00165017,41,1.95813
