nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
1,1,dynamic,480,360,16,8,4,6,32,0,master,8.30949,0,0,1080,8.32805
1,1,dynamic,480,360,16,8,4,6,32,0,master,8.34977,0,0,1080,8.36748
2,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.00121339,9.11816,0,9.14393
2,1,dynamic,480,360,16,8,4,6,32,1,worker,9.06718,0.0472591,0.0249499,1080,9.14365
2,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.00112575,8.45914,0,8.48451
2,1,dynamic,480,360,16,8,4,6,32,1,worker,8.45165,0.00407658,0.0246888,1080,8.4842
4,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.000765404,2.92437,0,2.94894
4,1,dynamic,480,360,16,8,4,6,32,1,worker,2.92667,0.0118757,0.00885667,358,2.94866
4,1,dynamic,480,360,16,8,4,6,32,2,worker,2.92371,0.00523524,0.0137446,379,2.94414
4,1,dynamic,480,360,16,8,4,6,32,3,worker,2.92318,0.0124363,0.00655458,343,2.94346
4,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.00267711,4.88035,0,4.94431
4,1,dynamic,480,360,16,8,4,6,32,1,worker,4.73143,0.094585,0.11242,370,4.94067
4,1,dynamic,480,360,16,8,4,6,32,2,worker,4.85558,0.0689409,0.0159558,363,4.94415
4,1,dynamic,480,360,16,8,4,6,32,3,worker,4.76438,0.157064,0.0164262,347,4.94029
8,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.00468474,2.09539,0,2.16613
8,1,dynamic,480,360,16,8,4,6,32,1,worker,2.07443,0.0826543,0.003194,147,2.16127
8,1,dynamic,480,360,16,8,4,6,32,2,worker,2.03089,0.101186,0.0292598,151,2.16208
8,1,dynamic,480,360,16,8,4,6,32,3,worker,2.04653,0.0903796,0.0186272,167,2.15987
8,1,dynamic,480,360,16,8,4,6,32,4,worker,2.0153,0.0995871,0.0429394,146,2.1587
8,1,dynamic,480,360,16,8,4,6,32,5,worker,2.06786,0.0852273,0.0136883,150,2.16761
8,1,dynamic,480,360,16,8,4,6,32,6,worker,2.08735,0.0583012,0.011562,171,2.15807
8,1,dynamic,480,360,16,8,4,6,32,7,worker,2.00081,0.153771,0.00520117,148,2.16066
8,1,dynamic,480,360,16,8,4,6,32,0,master,0,0.0104423,2.04145,0,2.1051
8,1,dynamic,480,360,16,8,4,6,32,1,worker,1.89464,0.184345,0.0168645,170,2.0973
8,1,dynamic,480,360,16,8,4,6,32,2,worker,1.90723,0.164529,0.0203869,147,2.09444
8,1,dynamic,480,360,16,8,4,6,32,3,worker,1.88502,0.201047,0.0178503,148,2.10516
8,1,dynamic,480,360,16,8,4,6,32,4,worker,1.99121,0.0856633,0.0162232,149,2.09385
8,1,dynamic,480,360,16,8,4,6,32,5,worker,1.92539,0.14398,0.0251585,158,2.09599
8,1,dynamic,480,360,16,8,4,6,32,6,worker,1.89079,0.195968,0.00942017,148,2.09737
8,1,dynamic,480,360,16,8,4,6,32,7,worker,1.91937,0.138316,0.0296705,160,2.08815
